WDPA_PID,IUCN9,Realm,GIS-Area_Category,Acrop-aMER,Acrop-aPTS,Rcrop-aMER,Rcrop-aPTS
163412,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
396023,V,Palearctic,10~20,2AC~1M,2AC~1P,1RC~1M,1RC~1P
320473,V,Palearctic,50~100,3AC~1M,3AC~1P,1RC~1M,1RC~1P
162233,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555552888,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
322450,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
322479,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
164597,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
322912,V,Palearctic,10~20,3AC~1M,3AC~1P,1RC~1M,1RC~1P
320316,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
162435,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
324510,V,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
82016,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
395677,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
323620,V,Palearctic,1~10,3AC~1M,3AC~1P,1RC~1M,1RC~1P
162236,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
325379,V,Palearctic,10~20,2AC~1M,2AC~1P,1RC~1M,1RC~1P
319100,IV,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
324576,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
320550,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
320156,V,Palearctic,1~10,3AC~1M,3AC~1P,1RC~1M,1RC~1P
555552887,V,Palearctic,1~10,3AC~1M,3AC~1P,1RC~1M,1RC~1P
319794,V,Palearctic,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
20746,V,Palearctic,20~30,3AC~1M,3AC~1P,1RC~1M,1RC~1P
319314,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555552864,V,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
164646,IV,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
395538,V,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555640594,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
163577,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
395583,V,Palearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
162623,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
164579,IV,Palearctic,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
164260,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
395506,V,Palearctic,10~20,3AC~1M,3AC~1P,2RC~1M,2RC~1P
162103,IV,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555552728,V,Palearctic,10~20,3AC~1M,3AC~1P,2RC~1M,2RC~1P
318800,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
163082,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
163682,IV,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
165607,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
163782,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
162312,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
396032,V,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555552865,V,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
396069,V,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
318079,IV,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
162276,IV,Palearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
162831,IV,Palearctic,1~10,1AC~1M,1AC~1P,3RC~1M,3RC~1P
318109,IV,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555552861,V,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
81874,IV,Palearctic,<1,3AC~1M,3AC~1P,3RC~1M,3RC~1P
162880,IV,Palearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
165872,IV,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
396035,V,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
163484,IV,Palearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555552862,V,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
320842,V,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
326220,No Category,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
6028,IV,Palearctic,50~100,2AC~1M,2AC~1P,1RC~1M,1RC~1P
323778,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
319556,V,Palearctic,1~10,3AC~1M,3AC~1P,1RC~1M,1RC~1P
555640620,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
387394,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
82677,IV,Palearctic,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
169730,IV,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
320449,V,Palearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555593970,II,Palearctic,100~1000,1AC~1M,1AC~1P,2RC~1M,2RC~1P
1055,II,Palearctic,100~1000,1AC~1M,1AC~1P,2RC~1M,2RC~1P
136539,IV,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
318093,IV,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
318210,IV,Palearctic,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
151437,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555602408,V,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
81930,IV,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
136436,IV,Palearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555581090,IV,Palearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
169015,IV,Palearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555640630,IV,Palearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
326226,No Category,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
326400,III,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
81161,No Category,Palearctic,1~10,1AC~1M,1AC~1P,3RC~1M,3RC~1P
138307,IV,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
12462,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
138031,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
135958,IV,Palearctic,40~50,1AC~2M,1AC~1P,1RC~2M,1RC~1P
140307,IV,Palearctic,1~10,2AC~2M,2AC~1P,2RC~2M,2RC~1P
140617,IV,Palearctic,<1,1AC~2M,1AC~1P,3RC~2M,3RC~1P
962,V,Palearctic,1000~10000,3AC~2M,3AC~1P,1RC~2M,1RC~1P
170091,IV,Palearctic,10~20,3AC~2M,3AC~1P,2RC~2M,2RC~1P
25565,Ia,Australasia,20~30,1AC~2M,1AC~1P,1RC~2M,1RC~1P
142788,IV,Palearctic,<1,1AC~2M,1AC~1P,3RC~2M,3RC~1P
136809,IV,Palearctic,1~10,1AC~2M,1AC~1P,3RC~2M,3RC~1P
136341,IV,Palearctic,10~20,2AC~2M,2AC~1P,3RC~2M,3RC~1P
355439,III,Australasia,1~10,1AC~2M,1AC~1P,1RC~2M,1RC~1P
355880,III,Australasia,1~10,1AC~2M,1AC~1P,1RC~2M,1RC~1P
354940,III,Australasia,<1,1AC~2M,1AC~1P,1RC~2M,1RC~1P
355670,III,Australasia,1~10,1AC~2M,1AC~1P,1RC~2M,1RC~1P
355778,III,Australasia,<1,1AC~2M,1AC~1P,1RC~2M,1RC~1P
355862,III,Australasia,<1,1AC~2M,1AC~1P,1RC~2M,1RC~1P
355789,III,Australasia,1~10,1AC~2M,1AC~1P,2RC~2M,2RC~1P
356115,III,Australasia,<1,1AC~2M,1AC~1P,2RC~2M,2RC~1P
355590,III,Australasia,1~10,1AC~2M,1AC~1P,2RC~2M,2RC~1P
355999,III,Australasia,1~10,1AC~2M,1AC~1P,3RC~2M,3RC~1P
355632,III,Australasia,1~10,1AC~2M,1AC~1P,3RC~2M,3RC~1P
355349,III,Australasia,1~10,1AC~2M,1AC~1P,3RC~2M,3RC~1P
354950,III,Australasia,1~10,1AC~2M,1AC~1P,3RC~2M,3RC~1P
16385,II,Palearctic,100~1000,3AC~1M,3AC~1P,1RC~1M,1RC~1P
165287,IV,Palearctic,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
82500,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
163480,No Category,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
163452,No Category,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
320666,No Category,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
164447,IV,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
165342,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
64667,V,Palearctic,10~20,2AC~1M,2AC~1P,1RC~1M,1RC~1P
555513992,No Category,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
163434,No Category,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
163425,No Category,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
164740,No Category,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
162264,IV,Palearctic,1~10,1AC~1M,1AC~1P,3RC~1M,3RC~1P
164603,IV,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
164931,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
325325,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
322903,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
555554614,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
163850,IV,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
321139,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
163696,IV,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
321641,V,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
164562,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
322297,V,Palearctic,40~50,3AC~1M,3AC~1P,1RC~1M,1RC~1P
318211,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
165332,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
323343,V,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
320911,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
323324,V,Palearctic,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
324506,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
322026,V,Palearctic,10~20,2AC~1M,2AC~1P,1RC~1M,1RC~1P
320499,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
165854,IV,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555537588,No Category,Palearctic,100~1000,3AC~1M,3AC~1P,1RC~1M,1RC~1P
324507,V,Palearctic,1~10,3AC~1M,3AC~1P,1RC~1M,1RC~1P
555690988,V,Palearctic,100~1000,3AC~1M,3AC~1P,1RC~1M,1RC~1P
555691045,V,Palearctic,100~1000,3AC~1M,3AC~1P,1RC~1M,1RC~1P
555690995,V,Palearctic,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
324098,V,Palearctic,1~10,3AC~1M,3AC~1P,1RC~1M,1RC~1P
555690992,V,Palearctic,1~10,3AC~1M,3AC~1P,1RC~1M,1RC~1P
318118,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
166025,IV,Palearctic,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
555537664,No Category,Palearctic,100~1000,3AC~1M,3AC~1P,1RC~1M,1RC~1P
378346,IV,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
319471,V,Palearctic,40~50,3AC~1M,3AC~1P,1RC~1M,1RC~1P
318095,IV,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
164851,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
162825,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555589340,V,Palearctic,40~50,2AC~1M,2AC~1P,2RC~1M,2RC~1P
321958,V,Palearctic,10~20,3AC~1M,3AC~1P,2RC~1M,2RC~1P
318926,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
20827,V,Palearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555690994,V,Palearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
318481,IV,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
325328,V,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
322602,V,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
163325,IV,Palearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
162933,IV,Palearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555555348,V,Palearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
82851,IV,Palearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
378089,IV,Palearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
166393,IV,Palearctic,<1,3AC~1M,3AC~1P,3RC~1M,3RC~1P
162059,IV,Palearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555537611,No Category,Palearctic,30~40,2AC~1M,2AC~1P,3RC~1M,3RC~1P
395886,V,Palearctic,10~20,1AC~1M,1AC~1P,1RC~1M,1RC~1P
322607,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
378688,V,Palearctic,30~40,3AC~1M,3AC~1P,1RC~1M,1RC~1P
323899,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
318962,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
325466,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
395925,V,Palearctic,100~1000,3AC~1M,3AC~1P,1RC~1M,1RC~1P
555552880,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
378621,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
162124,IV,Palearctic,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
166104,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
396006,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
318099,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
318967,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
163600,IV,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
318244,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
163274,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
395736,V,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
81266,IV,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
165193,IV,Palearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555552882,V,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
82882,IV,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555552874,V,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
164468,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
378440,V,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
166249,IV,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
82693,IV,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
82435,IV,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555707363,No Category,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
102335,IV,Palearctic,10~20,3AC~1M,3AC~1P,3RC~1M,3RC~1P
14324,IV,Palearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
165129,IV,Palearctic,1~10,1AC~1M,1AC~1P,3RC~1M,3RC~1P
395915,V,Palearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
378703,V,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
395640,V,Palearctic,10~20,1AC~1M,1AC~1P,1RC~1M,1RC~1P
163253,IV,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
320714,V,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
320712,V,Palearctic,10~20,2AC~1M,2AC~1P,1RC~1M,1RC~1P
321305,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
395988,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
20840,V,Palearctic,100~1000,3AC~1M,3AC~1P,1RC~1M,1RC~1P
342112,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
323566,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
325651,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
14341,IV,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
395850,V,Palearctic,10~20,2AC~1M,2AC~1P,1RC~1M,1RC~1P
323793,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
164536,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
324972,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
325163,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
323575,V,Palearctic,20~30,3AC~1M,3AC~1P,1RC~1M,1RC~1P
320850,V,Palearctic,50~100,3AC~1M,3AC~1P,1RC~1M,1RC~1P
163134,IV,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
324495,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
20749,V,Palearctic,10~20,3AC~1M,3AC~1P,1RC~1M,1RC~1P
396043,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
165958,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
323615,V,Palearctic,20~30,3AC~1M,3AC~1P,1RC~1M,1RC~1P
395858,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
322132,V,Palearctic,50~100,3AC~1M,3AC~1P,1RC~1M,1RC~1P
164564,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
165522,IV,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
323565,V,Palearctic,10~20,3AC~1M,3AC~1P,1RC~1M,1RC~1P
319964,V,Palearctic,20~30,3AC~1M,3AC~1P,1RC~1M,1RC~1P
20880,V,Palearctic,10~20,3AC~1M,3AC~1P,1RC~1M,1RC~1P
378650,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
165301,IV,Palearctic,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
319725,V,Palearctic,10~20,3AC~1M,3AC~1P,1RC~1M,1RC~1P
395818,V,Palearctic,1~10,3AC~1M,3AC~1P,1RC~1M,1RC~1P
322029,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
20897,V,Palearctic,100~1000,3AC~1M,3AC~1P,1RC~1M,1RC~1P
14520,IV,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
378408,V,Palearctic,10~20,3AC~1M,3AC~1P,1RC~1M,1RC~1P
318531,IV,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
395919,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
322021,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
555537408,No Category,Palearctic,20~30,2AC~1M,2AC~1P,1RC~1M,1RC~1P
323038,V,Palearctic,1~10,3AC~1M,3AC~1P,1RC~1M,1RC~1P
162671,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
322990,V,Palearctic,20~30,3AC~1M,3AC~1P,1RC~1M,1RC~1P
162818,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
319976,V,Palearctic,10~20,2AC~1M,2AC~1P,1RC~1M,1RC~1P
378485,V,Palearctic,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
320721,V,Palearctic,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
321529,V,Palearctic,20~30,3AC~1M,3AC~1P,2RC~1M,2RC~1P
395796,V,Palearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
395749,V,Palearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
20762,V,Palearctic,40~50,3AC~1M,3AC~1P,2RC~1M,2RC~1P
323184,V,Palearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
320656,V,Palearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
318221,IV,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
320286,V,Palearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
320122,V,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
318184,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555690951,V,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
164251,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
378508,V,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
162499,IV,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
82070,IV,Palearctic,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
163958,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
166352,IV,Palearctic,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
319369,IV,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
162555,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
164400,IV,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
163726,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
319609,V,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
318400,IV,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
319294,IV,Palearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
165523,IV,Palearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
14333,IV,Palearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
163630,IV,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
342080,IV,Palearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
166425,IV,Palearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
323604,V,Palearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
321982,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
320014,V,Palearctic,30~40,3AC~1M,3AC~1P,2RC~1M,2RC~1P
163499,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
183477,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555668452,V,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555539097,No Category,Palearctic,30~40,2AC~1M,2AC~1P,3RC~1M,3RC~1P
169703,IV,Palearctic,100~1000,3AC~1M,3AC~1P,1RC~1M,1RC~1P
136235,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
135985,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
136759,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
140357,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
136864,IV,Palearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
137116,IV,Palearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
140789,IV,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
136920,IV,Palearctic,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
10979,IV,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
152514,IV,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555541264,No Category,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
140773,IV,Palearctic,10~20,3AC~1M,3AC~1P,2RC~1M,2RC~1P
152241,III,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
153123,No Category,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555581391,IV,Palearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
148656,IV,Palearctic,1~10,1AC~2M,1AC~1P,1RC~2M,1RC~1P
555541816,No Category,Palearctic,50~100,2AC~2M,2AC~1P,1RC~2M,1RC~1P
136046,III,Palearctic,1~10,2AC~2M,2AC~1P,1RC~2M,1RC~1P
135916,IV,Palearctic,1~10,1AC~2M,1AC~1P,1RC~2M,1RC~1P
137090,IV,Palearctic,<1,2AC~2M,2AC~1P,2RC~2M,2RC~1P
220080,No Category,Palearctic,50~100,3AC~2M,3AC~1P,2RC~2M,2RC~1P
964,V,Palearctic,1000~10000,3AC~2M,3AC~1P,2RC~2M,2RC~1P
141150,IV,Palearctic,<1,2AC~2M,2AC~1P,2RC~2M,2RC~1P
140305,IV,Palearctic,<1,2AC~2M,2AC~1P,2RC~2M,2RC~1P
137981,IV,Palearctic,<1,2AC~2M,2AC~1P,3RC~2M,3RC~1P
395269,IV,Palearctic,10~20,3AC~2M,3AC~1P,3RC~2M,3RC~1P
136085,III,Palearctic,1~10,1AC~2M,1AC~1P,3RC~2M,3RC~1P
136408,IV,Palearctic,1~10,1AC~2M,1AC~1P,3RC~2M,3RC~1P
318983,IV,Palearctic,10~20,1AC~1M,1AC~1P,1RC~1M,1RC~1P
